Date;Open;High;Low;Close; Volume 
15/10/1984;0.0910124;0.0919296;0.0910124;0.0910124; $28.538.111.843.811,00 
16/10/1984;0.0910124;0.0913314;0.0907133;0.0907133; $138.459.808.767,00 
17/10/1984;0.0943821;0.0950002;0.0943821;0.0943821; $183.763.407.225,00 
18/10/1984;0.0971138;0.0977319;0.0971138;0.0971138; $28.995.352.083.271,00 
19/10/1984;0.0971138;0.103814;0.0968047;0.0971138; $38.258.417.896.988,00 
22/10/1984;0.0971138;0.0986292;0.0964857;0.0964857; $13.462.319.385.691,00 
23/10/1984;0.0986292;0.0995464;0.0986292;0.0986292; $21.871.339.298.322,00 
24/10/1984;0.0995464;0.100763;0.0995464;0.0995464; $19.593.019.868.992,00 
25/10/1984;0.0995464;0.0995464;0.0959075;0.0959075; $1.855.503.371.691,00 
26/10/1984;0.0959075;0.0959075;0.0931559;0.093465; $13.472.825.935.463,00 
29/10/1984;0.093764;0.0943821;0.093764;0.093764; $59.414.995.348.471,00 
30/10/1984;0.0950002;0.0959075;0.0950002;0.0950002; $87.506.381.526.996,00 
31/10/1984;0.0950002;0.0959075;0.0943821;0.0943821; $70.662.067.001.986,00 
01/11/1984;0.0950002;0.0959075;0.0950002;0.0950002; $55.184.180.701.207,00 
02/11/1984;0.0950002;0.0952893;0.093764;0.0943821; $32.479.842.203.527,00 
05/11/1984;0.0943821;0.0964857;0.093764;0.093764; $12.361.261.636.761,00 
06/11/1984;0.0995464;0.100165;0.0995464;0.0995464; $2.643.323.183.309,00 
07/11/1984;0.0995464;0.100165;0.0977319;0.0977319; $27.163.763.234.173,00 
08/11/1984;0.0977319;0.0977319;0.093764;0.093764; $10.337.838.732.092,00 
09/11/1984;0.093764;0.0943821;0.0873834;0.0883006; $34.505.893.400.671,00 
12/11/1984;0.0913314;0.0919296;0.0913314;0.0913314; $13.286.251.674.605,00 
13/11/1984;0.0913314;0.093465;0.0892179;0.0892179; $14.860.318.715.715,00 
14/11/1984;0.0901151;0.0910124;0.0901151;0.0901151; $1.224.037.492.771,00 
15/11/1984;0.0901151;0.0910124;0.0901151;0.0901151; $12.505.786.728.681,00 
16/11/1984;0.0901151;0.0913314;0.0876925;0.0883006; $19.445.863.174.529,00 
19/11/1984;0.0883006;0.0889088;0.0831065;0.0831065; $27.331.941.253.191,00 
20/11/1984;0.0858382;0.0861472;0.0858382;0.0858382; $30.882.125.244.469,00 
21/11/1984;0.0876925;0.0883006;0.0876925;0.0876925; $20.967.364.967.954,00 
23/11/1984;0.0889088;0.0913314;0.0889088;0.0901151; $16.082.247.225.197,00 
26/11/1984;0.0910124;0.0910124;0.0910124;0.0910124; $11.806.793.733.953,00 
27/11/1984;0.093465;0.0943821;0.093465;0.093465; $14.947.032.507.024,00 
28/11/1984;0.0983401;0.100763;0.0983401;0.0983401; $48.160.041.826.681,00 
29/11/1984;0.0983401;0.0983401;0.0964857;0.0964857; 205153864.29 
30/11/1984;0.0964857;0.0971138;0.093465;0.093764; $12.752.807.704.283,00 
03/12/1984;0.093764;0.0943821;0.0925377;0.0925377; $11.496.707.480.718,00 
04/12/1984;0.0943821;0.0964857;0.0943821;0.0943821; $14.121.898.124.089,00 
